guid,det-files,det-viruses,web-tot,web-bad,web-ratio,meow,rank(det-files),rank(det-viruses),rank(web-tot),rank(web-bad),rank(web-ratio)
1df1b17a-dc70-4ae3-b821-93bec8e7a1f7,109,4,135,0,0,,891,528,985,517,517
e0a9437a-7791-407d-adc4-ce4e8ffe6908,161,4,11486,30,0.002611875,,436,528,76,103,201
de4f7f78-283a-476a-bf99-cc601064dff0,101,1,635,0,0,,1007,859,852,517,517
4e5ee8c8-d8b4-4b8c-b1d5-9e79e6ddafad,150,1,332,0,0,,483,859,920,517,517
dc0cf561-3cc0-4aae-a76b-ca614c0f77b3,146,1,2042,0,0,,515,859,603,517,517
00a8c552-10a5-4e3c-9282-0bd748716f0a,133,17,6517,50,0.007672242,,607,176,187,75,120
9a20849a-e283-45e9-b1dc-12d0f9177a81,242,1,87,0,0,,242,859,998,517,517
631415c1-0498-411e-bf5b-1d6a47aa4363,378,2,2234,20,0.008952551,,126,720,575,127,108
c38cc10e-b0ee-42bc-9e43-d866ab906c2a,118,74,77093,9,0.000116742,,757,30,8,179,497
808f2bfc-18d0-459f-89bc-10d4b6d9b513,246,3,5026,0,0,,237,620,264,517,517
9e6140a8-8d9d-47b0-91fa-4f23b6fa4a2b,101,71,1573,0,0,,1007,33,681,517,517
09407bbc-e41d-4433-bf71-7ec26cd592b2,116,6,414,1,0.002415459,,786,407,901,386,206
e4797259-ab13-42c8-bcb7-b95777a27f8a,114,4,3110,0,0,,811,528,435,517,517
b62cbc60-23b3-4b25-a028-1b62199bf095,489,1,4860,0,0,,103,859,277,517,517
59ec2739-faa8-45a0-a2b6-6ddf4f35a999,3144,3,1993,54,0.027094832,,21,620,611,68,43
dd1eb0fc-d74b-4ce1-a341-faf87b978b2c,106,7,1117,10,0.008952551,,945,364,764,172,108
8daac95d-cc29-4a41-8361-1b1f8d6f13ca,146,3,5713,0,0,,515,620,228,517,517
2949aa6c-3ab3-449e-bdcb-b02482b6d8f9,715,1,1571,0,0,,73,859,682,517,517
718cc3e8-bf9f-4568-bd9b-4f1fc3530cd8,326,49,1947,0,0,,159,57,618,517,517
2d7d6d0c-602c-4a6e-a577-1da2d11ecf2f,283,105,2226,4,0.001796945,,189,15,576,253,233
f9e0033a-bc4f-41b7-86bb-c35a27d85dc9,112,1,192,0,0,,849,859,965,517,517
d01a565f-ce03-4790-83a0-e1903a47f2a9,151,23,5012,0,0,,477,134,267,517,517
d94d1478-ca5c-41ba-a16f-2ebb80977fd8,130,15,970,0,0,,631,198,790,517,517
af298052-8fd6-4bdb-9de5-63a90e14a99a,147,5,3890,1,0.000257069,,505,460,342,386,453
d5ab0286-b2ac-4be5-81ec-190c2f14963b,110,1,3367,0,0,,872,859,400,517,517
576fa827-4bcd-424a-8986-7e1da2aac12b,100,2,671,1,0.001490313,,1025,720,840,386,254
0caf228a-fe6e-4ff6-8796-f43e726a0f11,197,2,2714,0,0,,325,720,493,517,517
ce98e974-d34a-49ce-97d0-963a3475855a,188,2,2138,0,0,,350,720,586,517,517
c1140a79-a083-4106-81e6-d00a36da8766,176,16,3016,3,0.000994695,,390,185,449,280,296
6b53ef53-5465-4d4c-8ac7-7cdd7f3f3afe,103,6,2786,91,0.032663317,,983,407,480,48,32
a9408673-10fd-4963-81e8-7108df2013df,143,3,1350,0,0,,534,620,712,517,517
23d54685-08c0-41d1-89ab-d47fd9157db9,190,5,3465,0,0,,345,460,385,517,517
8e8fcf34-ad5b-4b59-81d1-5ee2c86b3b08,261,30,1917,0,0,,215,98,624,517,517
de7f6d8a-3ec7-46aa-9ed3-19a8f166313b,147,8,9373,8,0.000853515,,505,328,107,191,317
0df76faf-6be4-4472-9c73-9688743692b6,123,76,883,1,0.001132503,,700,28,807,386,282
7f79ab94-97e1-43eb-bcfe-db20e5011af1,122,15,1813,4,0.002206288,,712,198,640,253,216
934dd565-e6d1-4f51-a3dc-5b2f829d1b14,173,23,7331,1,0.000136407,,399,134,161,386,488
c5628c14-36e6-4cb6-a144-902848deb4b2,111,1,600,1,0.001666667,,862,859,859,386,244
96059873-6933-4624-a2f8-1581a9f9a25c,246498,2234,2,0,0,,1,1,1033,517,517
deba79e4-b518-424c-b898-22acd53eb3a3,101,6,3542,6,0.001693958,,1007,407,373,211,243
74486611-1c1a-4313-bd8b-8f2cbdacb7ba,116,1,835,0,0,,786,859,815,517,517
ddbfaf16-82e6-48ad-bd31-447149c35077,490,3,1757,1,0.000569152,,102,620,648,386,367
fcce67f6-a2d9-4f1e-81dd-3a3f3491fccf,139,4,6387,0,0,,558,528,195,517,517
3afdaf00-e1db-4412-b14e-b19341b3fee5,223,1,3117,0,0,,272,859,433,517,517
8e17d53f-6d3e-43e2-a035-a00104f3fb20,231,8,21,0,0,,259,328,1024,517,517
177ca38f-146d-4a09-8218-cf42e8567487,156,3,59,0,0,,455,620,1007,517,517
e9f98a4e-7e2c-4663-9140-ccfd9c8c61ef,105,1,329,0,0,,955,859,922,517,517
947ede55-ec2a-451f-9dbf-c84e4acf08df,110,7,216,0,0,,872,364,955,517,517
19eee487-5a25-4dab-937c-c8c207115648,566,2,5104,0,0,,84,720,257,517,517
e4cbaf4f-1b9b-4ad4-b7b1-e8e9b770877c,135,3,8258,0,0,,591,620,133,517,517
4bf3409c-167d-4682-af2d-bb2ba0e69b77,104,25,219,2,0.00913242,,965,126,953,314,106
dbced01b-47da-4c6e-8a22-cb6b3bc57a95,145,1,6331,0,0,,521,859,201,517,517
859152e5-4f25-443a-a57e-c5c92204e364,100,4,93,0,0,,1025,528,995,517,517
eca1b970-459f-45d0-b5ad-f54c3190b33e,186,10,4365,1,0.000229095,,356,278,304,386,462
f665d725-8640-424b-82a3-e143369d0ef1,171,38,4952,2,0.000403877,,406,76,271,314,404
dfa9b50b-6ac2-4e3a-8519-696d8a23064f,315,2,814,1,0.001228501,,167,720,818,386,274
a1e21a97-2200-4f79-be0e-3e919e3266da,140,1,3737,1,0.000267594,,550,859,350,386,450
1d05b93e-def4-4ea9-9e6d-b6ccb40697a5,118,1,5458,0,0,,757,859,237,517,517
13b04003-22f0-41fb-ac2f-b961523389cc,271,2,1299,30,0.023094688,,205,720,724,103,50
e299f765-5453-4aa8-b5a1-c78c4a65ff34,3460,5,968,1,0.001033058,,20,460,791,386,289
c336767f-b02f-4eb7-9855-d74cd34b8e1f,192,5,1186,18,0.015177066,,341,460,749,135,73
0a969e7e-7a31-4c15-8771-8b612fc7f198,246,1,2558,73,0.02853792,,237,859,514,56,37
07faa3b9-a5e9-4fe9-a918-4b008fff2b44,158,8,2035,4,0.001965602,,445,328,605,253,227
9f43c449-d1a1-49f0-a3f3-4107b4a853e8,627,5,4405,0,0,,80,460,300,517,517
9789faef-ace1-4044-a669-37400bc765e1,140,4,8637,0,0,,550,528,124,517,517
1191900d-79a0-4fa8-9394-25e97a874ab3,276,13,1780,0,0,,197,230,645,517,517
de2be7ba-3b4e-45b3-b269-e664f28787d1,115,3,834,0,0,,799,620,816,517,517
1a881d26-ee7f-49fe-829c-26449a07372e,218,3,2723,1,0.000367242,,280,620,490,386,417
3aaeba24-3d75-4e80-80c8-3795c78d12bc,109,4,14385,0,0,,891,528,52,517,517
ac88f057-1fad-401a-8a61-d87274fcbf01,118,29,1237,2,0.001616815,,757,101,735,314,248
a6e8a7e5-b393-4b8f-a5c0-16275d80d05e,133,7,4667,4,0.000857082,,607,364,285,253,316
1c1bb9d4-735f-4991-bde7-34d98d47dabb,124,25,1404,0,0,,690,126,706,517,517
