feature	weight
log-MU-col-2	-1.86611936846e-08
log-PE-col-2	-1.38785581548e-08
log-MG-col-2	0.0
log-MK-col-2	0.0
log-MN-col-2	0.0
log-MO-col-2	0.0
log-MT-col-2	0.0
log-MV-col-2	0.0
log-MZ-col-2	0.0
log-NI-col-2	0.0
log-NL-col-2	0.0
log-NO-col-2	0.0
log-AS-col-2	0.0
log-PL-col-2	0.0
log-PLAE-col-2	0.0
log-PT-col-2	0.0
log-PY-col-2	0.0
log-AT-col-2	0.0
log-RO-col-2	0.0
log-RS-col-2	0.0
log-RU-col-2	0.0
log-SB-col-2	0.0
log-SD-col-2	0.0
log-SE-col-2	0.0
log-SI-col-2	0.0
log-SK-col-2	0.0
log-SM-col-2	0.0
log-SO-col-2	0.0
log-SV-col-2	0.0
log-SY-col-2	0.0
log-TJ-col-2	0.0
log-TN-col-2	0.0
log-AW-col-2	0.0
log-TZ-col-2	0.0
log-UA-col-2	0.0
log-UG-col-2	0.0
log-UZ-col-2	0.0
log-VA-col-2	0.0
log-VG-col-2	0.0
log-BA-col-2	0.0
log-VU-col-2	0.0
log-WS-col-2	0.0
log-YE-col-2	0.0
log-ZM-col-2	0.0
log-ZW-col-2	0.0
log-ZZ-col-2	0.0
log-BB-col-2	0.0
log-KG-col-2	0.0
log-NG-col-2	0.0
log-ET-col-2	0.0
log-AG-col-2	0.0
log-KG-col-2	0.0
log-PS-col-2	0.0
log-SR-col-2	0.0
log-GH-col-2	0.0
log-BE-col-2	0.0
log-#-col-7	0.0
log-AS-col-7	0.0
log-BG-col-2	0.0
log-BH-col-2	0.0
log---col-2	0.0
log-BW-col-7	0.0
log-BM-col-2	0.0
log-DJ-col-7	0.0
log-DZ-col-7	0.0
log-FO-col-7	0.0
log-GL-col-7	0.0
log-GY-col-7	0.0
log-IQ-col-7	0.0
log-LY-col-7	0.0
log-MG-col-7	0.0
log-BW-col-2	0.0
log-MZ-col-7	0.0
log-BY-col-2	0.0
log-#-col-2	0.0
log-PLAE-col-7	0.0
log-PY-col-7	0.0
log-reserved-col-7	0.0
log-SB-col-7	0.0
log-SD-col-7	0.0
log-CH-col-2	0.0
log-SO-col-7	0.0
log-TJ-col-7	0.0
log-VI-col-7	0.0
log-VU-col-7	0.0
log-YE-col-7	0.0
log-KG-col-7	0.0
log-ET-col-7	0.0
log-CU-col-2	0.0
log-CW-col-2	0.0
log-CY-col-2	0.0
log-CZ-col-2	0.0
log-AD-col-2	0.0
log-DE-col-2	0.0
log-DJ-col-2	0.0
log-DK-col-2	0.0
log-DM-col-2	0.0
log-DZ-col-2	0.0
log-EE-col-2	0.0
log-EG-col-2	0.0
log-ES-col-2	0.0
log-EU-col-2	0.0
log-FI-col-2	0.0
log-FM-col-2	0.0
log-FO-col-2	0.0
log-FR-col-2	0.0
log-GB-col-2	0.0
log-GE-col-2	0.0
log-GG-col-2	0.0
log-GI-col-2	0.0
log-GL-col-2	0.0
log-GR-col-2	0.0
log-HR-col-2	0.0
log-HU-col-2	0.0
log-AI-col-2	0.0
log-IE-col-2	0.0
log-IM-col-2	0.0
log-IS-col-2	0.0
log-IT-col-2	0.0
log-JE-col-2	0.0
log-AL-col-2	0.0
log-KY-col-2	0.0
log-AM-col-2	0.0
log-LI-col-2	0.0
log-LT-col-2	0.0
log-LU-col-2	0.0
log-LV-col-2	0.0
log-MA-col-2	0.0
log-MD-col-2	0.0
log-ME-col-2	0.0
log-AP-col-2	0.0
log-SY-col-7	9.8504027801e-08
log-ZW-col-7	1.44549318511e-07
log-KH-col-2	5.21267540004e-07
log-OM-col-2	6.02832804089e-07
log-MP-col-7	7.04408832152e-07
log-MV-col-7	8.95255038011e-07
log-BT-col-7	1.00666107654e-06
log-TN-col-7	1.12558531281e-06
log-BQ-col-2	1.21622500817e-06
log-PS-col-7	1.22248508797e-06
log-LB-col-7	1.60889471698e-06
log-AD-col-7	1.88065632113e-06
log-WF-col-2	2.05721284354e-06
log-BS-col-2	2.08693621776e-06
log-PK-col-2	2.38474411403e-06
log-LB-col-2	2.50323280307e-06
log-BT-col-2	2.64634091372e-06
log-NI-col-7	2.77706432997e-06
log-LY-col-2	2.81428482838e-06
log-MP-col-2	2.87195616696e-06
log-JM-col-2	2.87521916618e-06
log-HT-col-2	2.89494182775e-06
log-BQ-col-7	3.04665478736e-06
log-BB-col-7	3.27191456109e-06
log-WF-col-7	3.3064479152e-06
log-BH-col-7	3.31814226333e-06
log-NP-col-2	3.42126589483e-06
log-HT-col-7	3.50188858796e-06
log-IQ-col-2	3.50279472825e-06
log-AF-col-2	3.50521925111e-06
log-QA-col-2	3.57656392571e-06
log-IR-col-2	3.58272530567e-06
log-AW-col-7	3.69031650433e-06
log-GY-col-2	3.8245229478e-06
log-GT-col-7	4.2885977864e-06
log-TZ-col-7	4.42450989321e-06
log-VI-col-2	4.43695375085e-06
log-GH-col-7	4.92502056595e-06
log-UG-col-7	5.02607371428e-06
log-BO-col-2	5.15474094313e-06
log-SR-col-7	5.18250932658e-06
log-IL-col-2	5.30370796748e-06
log-LA-col-7	6.11463001464e-06
log-JO-col-2	6.40838804157e-06
log-ZM-col-7	6.51420809519e-06
log-TR-col-2	6.59980036253e-06
log-HN-col-2	6.6479816696e-06
log-KW-col-2	6.98865485747e-06
log-LA-col-2	7.19901312525e-06
log-BD-col-2	7.43837786272e-06
log-BZ-col-2	7.53971390008e-06
log-EC-col-2	7.85055865589e-06
log-GT-col-2	7.94143386132e-06
log-BA-col-7	8.11954208077e-06
log-KH-col-7	8.30581201711e-06
log-WS-col-7	8.48007557137e-06
log-JO-col-7	8.79727975988e-06
log-KE-col-2	9.36081352548e-06
log-CU-col-7	9.95724874125e-06
log-SV-col-7	1.08262823417e-05
log-DO-col-2	1.10760589755e-05
log-AF-col-7	1.12098252368e-05
log-MM-col-7	1.23765017819e-05
log-UZ-col-7	1.35237699852e-05
log-MA-col-7	1.39175159707e-05
log-PK-col-7	1.40352316865e-05
log-FJ-col-2	1.42316585303e-05
log-BO-col-7	1.43906818838e-05
log-MU-col-7	1.51313426815e-05
log-JE-col-7	1.56346951845e-05
log-GU-col-7	1.58678033821e-05
log-GU-col-2	1.61125741505e-05
log-EC-col-7	1.66466604279e-05
log-TT-col-7	1.74614440055e-05
log-AM-col-7	1.7761734192e-05
log-OM-col-7	1.82364649453e-05
log-MM-col-2	1.83442761953e-05
log-KZ-col-2	1.85497767571e-05
log-SA-col-2	2.03557443099e-05
log-PG-col-2	2.04419153604e-05
log-CR-col-2	2.08943210696e-05
log-TT-col-2	2.09767713108e-05
log-JM-col-7	2.10108345834e-05
log-AL-col-7	2.11039917599e-05
log-PG-col-7	2.12791444662e-05
log-VE-col-2	2.25194059014e-05
log-AE-col-2	2.28322199535e-05
log-PR-col-2	2.29185589889e-05
log-DO-col-7	2.31627759551e-05
log-NG-col-7	2.31658840906e-05
log-PE-col-7	2.37534707631e-05
log-BN-col-2	2.47277194672e-05
log-CL-col-2	2.56220978355e-05
log-SM-col-7	2.6545437715e-05
log-UY-col-2	2.76276614465e-05
log-KW-col-7	2.88995681178e-05
log-AG-col-7	3.03064185013e-05
log-BZ-col-7	3.31925234469e-05
log-GG-col-7	3.5205077646e-05
log-MN-col-7	3.53438951957e-05
log-KG-col-7	3.53893965685e-05
log-LK-col-2	3.67233458271e-05
log-CO-col-2	3.71753200042e-05
log-BN-col-7	3.88422932586e-05
log-FM-col-7	4.09430803705e-05
log-CW-col-7	4.10826360207e-05
log-BD-col-7	4.4952919303e-05
log-PA-col-2	4.56928434708e-05
log-GE-col-7	4.69828487245e-05
log-UY-col-7	4.84802716989e-05
log-LK-col-7	5.11626734466e-05
log-HN-col-7	5.276406289e-05
log-VA-col-7	5.53798852061e-05
log-MK-col-7	5.69679571804e-05
log-AR-col-2	5.74190580145e-05
log-LI-col-7	6.04140163077e-05
log-PR-col-7	6.04781933545e-05
log-BY-col-7	6.35310559301e-05
log-NP-col-7	6.88630491129e-05
log-ZA-col-2	7.10005358797e-05
log-FJ-col-7	7.2618743738e-05
log-NC-col-2	7.31990344807e-05
log-VE-col-7	7.45854578703e-05
log-KE-col-7	7.48988008157e-05
log-KR-col-2	8.62191569456e-05
log-reserved-col-2	8.63003083892e-05
log-MO-col-7	8.73238061611e-05
log-SA-col-7	9.11020180918e-05
log-GI-col-7	9.72480039245e-05
log-EG-col-7	9.95840884128e-05
log-ME-col-7	0.000107619776291
log-NC-col-7	0.000108752463579
log-MT-col-7	0.000119947693191
log-HR-col-7	0.000120430645983
log-KZ-col-7	0.000122382546833
log-QA-col-7	0.000176313679307
log-RS-col-7	0.000177811099223
log-GR-col-7	0.000201145527472
log-ID-col-2	0.000203878930186
log-CL-col-7	0.000205779873058
log-PH-col-2	0.00021067948605
log-MX-col-2	0.00021355913642
log-JP-col-2	0.000247318848079
log-HK-col-2	0.00027461801095
log-AE-col-7	0.000287371983139
log-IR-col-7	0.000325511396614
log-BS-col-7	0.000352510984982
log-SI-col-7	0.000354787506993
log-CO-col-7	0.000362288680574
log-TH-col-2	0.000379962321882
log-PH-col-7	0.000397143107196
log-ID-col-7	0.000415692659646
log-EE-col-7	0.000455988404776
log-BR-col-2	0.000465760237238
log-MX-col-7	0.000473176803101
log-BM-col-7	0.000522100767995
log-KY-col-7	0.000551181472013
log-CN-col-2	0.000570529138964
log-NULL	0.000626327208035
log-DM-col-7	0.000631104507828
log-SK-col-7	0.000639539289671
log-AI-col-7	0.000836453497368
log-BG-col-7	0.00102550696587
log-ZA-col-7	0.00104194407466
log-IM-col-7	0.00111765228563
log-VN-col-2	0.00113201507952
log-MD-col-7	0.00115364655902
log-LV-col-7	0.00117426874549
log-AR-col-7	0.00118489074665
log-BE-col-7	0.00125647339318
log-LT-col-7	0.00126294742563
log-FI-col-7	0.00131687829759
log-NO-col-7	0.00142803422618
log-PL-col-7	0.0014675859614
log-TR-col-7	0.00155412404045
log-MY-col-2	0.00157917989094
log-CY-col-7	0.00158553854195
log-VN-col-7	0.00163784267221
log-SG-col-2	0.00174308611961
log-AT-col-7	0.00177146363941
log-PA-col-7	0.00188888113559
log-IN-col-2	0.00200244024632
log-TH-col-7	0.00218429292121
log-NZ-col-2	0.00241732931526
log-IS-col-7	0.00263887909292
log-IT-col-7	0.00299853660087
log-ZZ-col-7	0.00335448151788
log-TW-col-2	0.00351568722225
log-IN-col-7	0.00381554942254
log-AP-col-7	0.00385119581165
log-RO-col-7	0.00415788194075
log-PT-col-7	0.00419931952146
log-ES-col-7	0.00421142906938
log-VG-col-7	0.00444380033898
log-NZ-col-7	0.004525590472
log-CA-col-2	0.00463485616063
log-MY-col-7	0.00467436561732
log-CH-col-7	0.00510338438008
log-UA-col-7	0.00510847557469
log-CZ-col-7	0.00539347928478
log-HU-col-7	0.0055038150086
log-BR-col-7	0.0055632136985
log-SE-col-7	0.00895142795313
log-TW-col-7	0.00937223180166
log-KR-col-7	0.00947057681168
log-IL-col-7	0.00957155931824
log-DK-col-7	0.00976798145827
log-RU-col-7	0.00979233126108
log-CN-col-7	0.0119336684784
log-LU-col-7	0.0123904452136
log-CR-col-7	0.013674136444
log---col-7	0.0160470463321
log-Adult	0.0189521287602
log-AU-col-2	0.018992998193
log-FR-col-7	0.0210034953401
log-DE-col-7	0.0210849077263
log-NL-col-7	0.0227337694393
